,ID,N_VICTIMAS,FECHA_x,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,FECHA_FALLECIMIENTO,Dia_de_la_semana
0,20160001,1,2016-01-01,2016,1,1,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,19,2016-01-01,Friday
1,20160002,1,2016-01-02,2016,1,2,1,AV GRAL PAZ  Y AV DE LOS CORRALES,AVENIDA,9,AUTO-PASAJEROS,AUTO,PASAJEROS,CONDUCTOR,MASCULINO,70,2016-01-02,Saturday
2,20160003,1,2016-01-03,2016,1,3,7,AV ENTRE RIOS 2034,AVENIDA,1,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,30,2016-01-03,Sunday
3,20160004,1,2016-01-10,2016,1,10,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,8,MOTO-SD,MOTO,SD,CONDUCTOR,MASCULINO,18,,Sunday
4,20160005,1,2016-01-21,2016,1,21,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,1,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,29,2016-02-01,Thursday
5,20160008,1,2016-01-24,2016,1,24,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,30,2016-01-24,Sunday
6,20160009,1,2016-01-24,2016,1,24,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-01-26,Sunday
7,20160010,1,2016-01-29,2016,1,29,15,AV GENERAL PAZ Y AV DE LOS CORRALES,AVENIDA,9,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,18,2016-01-29,Friday
8,20160012,1,2016-02-08,2016,2,8,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,22,2016-02-08,Monday
9,20160013,1,2016-02-10,2016,2,10,11,AV ENTRE RIOS 1366,AVENIDA,1,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,16,2016-02-10,Wednesday
10,20160015,1,2016-02-14,2016,2,14,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,16,2016-02-14,Sunday
11,20160016,1,2016-02-14,2016,2,14,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,19,2016-02-14,Sunday
12,20160017,1,2016-02-15,2016,2,15,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,59,2016-02-16,Monday
13,20160019,1,2016-02-17,2016,2,17,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,9,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,65,2016-02-17,Wednesday
14,20160020,1,2016-02-17,2016,2,17,16,SUIPACHA 156,CALLE,1,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,59,2016-03-02,Wednesday
15,20160021,1,2016-02-17,2016,2,17,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,7,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,34,2016-02-17,Wednesday
16,20160022,1,2016-02-21,2016,2,21,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,1,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,41,,Sunday
17,20160025,1,2016-02-28,2016,2,28,4,AV GRAL PAZ Y AV 27 DE FEBRERO,AVENIDA,8,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28,Sunday
18,20160026,1,2016-02-28,2016,2,28,7,HOLMBERG Y VEDIA,CALLE,12,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,30,2016-03-04,Sunday
19,20160027,1,2016-02-28,2016,2,28,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,7,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34,,Sunday
