,FECHA,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO
0,1/1/2016,20160001,1,2016-01-01,2016,1,1,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,MOTO-AUTO,MOTO,AUTO
1,1/2/2016,20160002,1,2016-01-02,2016,1,2,1,AV GRAL PAZ  Y AV DE LOS CORRALES,AVENIDA,9,AUTO-PASAJEROS,AUTO,PASAJEROS
2,1/3/2016,20160003,1,2016-01-03,2016,1,3,7,AV ENTRE RIOS 2034,AVENIDA,1,MOTO-AUTO,MOTO,AUTO
3,1/10/2016,20160004,1,2016-01-10,2016,1,10,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,8,MOTO-SD,MOTO,SD
4,1/21/2016,20160005,1,2016-01-21,2016,1,21,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,1,MOTO-PASAJEROS,MOTO,PASAJEROS
5,1/24/2016,20160008,1,2016-01-24,2016,1,24,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
6,1/24/2016,20160009,1,2016-01-24,2016,1,24,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11,MOTO-AUTO,MOTO,AUTO
7,1/29/2016,20160010,1,2016-01-29,2016,1,29,15,AV GENERAL PAZ Y AV DE LOS CORRALES,AVENIDA,9,MOTO-AUTO,MOTO,AUTO
8,2/8/2016,20160012,1,2016-02-08,2016,2,8,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1,MOTO-CARGAS,MOTO,CARGAS
9,2/10/2016,20160013,1,2016-02-10,2016,2,10,11,AV ENTRE RIOS 1366,AVENIDA,1,PEATON-AUTO,PEATON,AUTO
10,2/14/2016,20160015,1,2016-02-14,2016,2,14,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15,PEATON-AUTO,PEATON,AUTO
11,2/14/2016,20160016,1,2016-02-14,2016,2,14,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4,MOTO-AUTO,MOTO,AUTO
12,2/15/2016,20160017,1,2016-02-15,2016,2,15,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8,PEATON-MOTO,PEATON,MOTO
13,2/17/2016,20160019,1,2016-02-17,2016,2,17,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,9,PEATON-PASAJEROS,PEATON,PASAJEROS
14,2/17/2016,20160020,1,2016-02-17,2016,2,17,16,SUIPACHA 156,CALLE,1,PEATON-AUTO,PEATON,AUTO
15,2/17/2016,20160021,1,2016-02-17,2016,2,17,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,7,AUTO-AUTO,AUTO,AUTO
16,2/21/2016,20160022,1,2016-02-21,2016,2,21,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,1,MOTO-AUTO,MOTO,AUTO
17,2/28/2016,20160025,1,2016-02-28,2016,2,28,4,AV GRAL PAZ Y AV 27 DE FEBRERO,AVENIDA,8,AUTO-AUTO,AUTO,AUTO
18,2/28/2016,20160026,1,2016-02-28,2016,2,28,7,HOLMBERG Y VEDIA,CALLE,12,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
19,2/28/2016,20160027,1,2016-02-28,2016,2,28,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,7,AUTO-AUTO,AUTO,AUTO
20,3/2/2016,20160028,1,2016-03-02,2016,3,2,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,1,PEATON-CARGAS,PEATON,CARGAS
21,3/4/2016,20160029,1,2016-03-04,2016,3,4,17,AV CABILDO Y DEHEZA,AVENIDA,12,PEATON-PASAJEROS,PEATON,PASAJEROS
22,3/8/2016,20160031,1,2016-03-08,2016,3,8,12,AV GRAL PAZ Y AV CNEL ROCA,AVENIDA,8,MOTO-PASAJEROS,MOTO,PASAJEROS
23,3/12/2016,20160034,1,2016-03-12,2016,3,12,12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,PEATON-PASAJEROS,PEATON,PASAJEROS
24,3/13/2016,20160035,1,2016-03-13,2016,3,13,6,AV CORRIENTES Y AV CALLAO,AVENIDA,3,MOTO-PASAJEROS,MOTO,PASAJEROS
25,3/14/2016,20160036,1,2016-03-14,2016,3,14,0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,4,MOTO-PASAJEROS,MOTO,PASAJEROS
26,3/19/2016,20160037,1,2016-03-19,2016,3,19,11,AV. EVA PERON Y QUIRNO,AVENIDA,7,MOTO-MOTO,MOTO,MOTO
27,3/21/2016,20160038,1,2016-03-21,2016,3,21,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,AVENIDA,8,PEATON-PASAJEROS,PEATON,PASAJEROS
28,3/23/2016,20160039,1,2016-03-23,2016,3,23,1,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,3,MOTO-PASAJEROS,MOTO,PASAJEROS
29,3/29/2016,20160041,2,2016-03-29,2016,3,29,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,7,MOTO-CARGAS,MOTO,CARGAS
30,3/30/2016,20160043,1,2016-03-30,2016,3,30,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,8,PEATON-CARGAS,PEATON,CARGAS
31,3/31/2016,20160044,1,2016-03-31,2016,3,31,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,7,MULTIPLE,MOTO,MULTIPLE
32,4/11/2016,20160045,1,2016-04-11,2016,4,11,10,AV GRAL PAZ Y AV DEL LIBERTADOR,AVENIDA,13,MOTO-SD,MOTO,SD
33,4/15/2016,20160047,1,2016-04-15,2016,4,15,5,LIMA 1483,CALLE,1,PEATON-PASAJEROS,PEATON,PASAJEROS
34,4/15/2016,20160048,1,2016-04-15,2016,4,15,17,AV. CORRIENTES Y AV. DORREGO,AVENIDA,15,PEATON-PASAJEROS,PEATON,PASAJEROS
35,4/17/2016,20160049,1,2016-04-17,2016,4,17,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,4,SD-SD,SD,SD
36,4/19/2016,20160050,1,2016-04-19,2016,4,19,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,PEATON-PASAJEROS,PEATON,PASAJEROS
37,4/20/2016,20160051,1,2016-04-20,2016,4,20,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,MOTO-CARGAS,MOTO,CARGAS
38,4/20/2016,20160052,1,2016-04-20,2016,4,20,20,AUTOPISTA LUGONES PK 10000,AUTOPISTA,13,MOTO-SD,MOTO,SD
39,4/22/2016,20160053,1,2016-04-22,2016,4,22,9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,12,PEATON-PASAJEROS,PEATON,PASAJEROS
40,4/23/2016,20160054,1,2016-04-23,2016,4,23,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,8,MOTO-MOTO,MOTO,MOTO
41,4/25/2016,20160055,1,2016-04-25,2016,4,25,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,14,PEATON-CARGAS,PEATON,CARGAS
42,4/26/2016,20160056,1,2016-04-26,2016,4,26,4,AV LUIS MARIA CAMPOS 30,AVENIDA,14,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
43,5/4/2016,20160058,1,2016-05-04,2016,5,4,14,LIMA 1471,CALLE,1,PEATON-MOTO,PEATON,MOTO
44,5/8/2016,20160059,1,2016-05-08,2016,5,8,16,PASAJE CIUDADELA Y LIMA OESTE,CALLE,1,PEATON-PASAJEROS,PEATON,PASAJEROS
45,5/14/2016,20160064,1,2016-05-14,2016,5,14,18,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,10,PEATON-PASAJEROS,PEATON,PASAJEROS
46,5/20/2016,20160065,1,2016-05-20,2016,5,20,14,AV GAONA Y ESPINOSA,AVENIDA,6,PEATON-AUTO,PEATON,AUTO
47,5/21/2016,20160067,1,2016-05-21,2016,5,21,17,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,8,MOTO-PASAJEROS,MOTO,PASAJEROS
48,5/22/2016,20160068,1,2016-05-22,2016,5,22,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,2,MOTO-PASAJEROS,MOTO,PASAJEROS
49,5/23/2016,20160069,1,2016-05-23,2016,5,23,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,3,AUTO-CARGAS,AUTO,CARGAS
50,6/11/2016,20160073,1,2016-06-11,2016,6,11,15,MAGARIÑOS CERVANTES 3900,CALLE,10,MOTO-CARGAS,MOTO,CARGAS
51,6/12/2016,20160074,1,2016-06-12,2016,6,12,6,AV GRAL PAZ Y RODOLFO SCAPINO,AVENIDA,8,AUTO-AUTO,AUTO,AUTO
52,6/12/2016,20160075,1,2016-06-12,2016,6,12,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,8,PEATON-AUTO,PEATON,AUTO
53,6/13/2016,20160076,1,2016-06-13,2016,6,13,16,AV SAN MARTIN Y CAMARONES,AVENIDA,15,PEATON-PASAJEROS,PEATON,PASAJEROS
54,6/13/2016,20160077,1,2016-06-13,2016,6,13,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,1,PEATON-PASAJEROS,PEATON,PASAJEROS
55,6/13/2016,20160078,1,2016-06-13,2016,6,13,23,AV BELGRANO Y AV JUJUY,AVENIDA,3,MOTO-MOTO,MOTO,MOTO
56,6/16/2016,20160079,1,2016-06-16,2016,6,16,17,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,13,AUTO-AUTO,AUTO,AUTO
57,6/18/2016,20160080,1,2016-06-18,2016,6,18,6,AV GRAL PAZ Y AV RIVADAVIA,AVENIDA,9,AUTO-SD,AUTO,SD
58,6/22/2016,20160081,1,2016-06-22,2016,6,22,7,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,12,MOTO-AUTO,MOTO,AUTO
59,6/27/2016,20160082,1,2016-06-27,2016,6,27,18,AV LA PLATA 2384,AVENIDA,4,PEATON-AUTO,PEATON,AUTO
60,6/28/2016,20160083,1,2016-06-28,2016,6,28,20,AV JUAN B ALBERDI Y PUAN,AVENIDA,6,PEATON-MOTO,PEATON,MOTO
61,6/29/2016,20160084,1,2016-06-29,2016,6,29,22,CARLOS PELLEGRINI Y TUCUMAN,CALLE,1,PEATON-PASAJEROS,PEATON,PASAJEROS
62,6/29/2016,20160085,1,2016-06-29,2016,6,29,22,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,AVENIDA,4,MOTO-MOVIL,MOTO,OTRO
63,6/30/2016,20160086,1,2016-06-30,2016,6,30,16,AV OLIVERA Y RAMON FALCON,AVENIDA,10,PEATON-PASAJEROS,PEATON,PASAJEROS
64,7/2/2016,20160087,1,2016-07-02,2016,7,3,0,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,AUTOPISTA,1,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
65,7/11/2016,20160088,1,2016-07-11,2016,7,11,15,CERETTI Y NUÑEZ,CALLE,12,PEATON-AUTO,PEATON,AUTO
66,7/14/2016,20160089,1,2016-07-14,2016,7,14,6,AV LUGONES Y LA PAMPA,AUTOPISTA,13,PEATON-AUTO,PEATON,AUTO
67,7/14/2016,20160090,1,2016-07-14,2016,7,14,22,JERONIMO SALGUERO Y AV RIVADAVIA,AVENIDA,5,PEATON-PASAJEROS,PEATON,PASAJEROS
68,7/15/2016,20160092,1,2016-07-15,2016,7,15,11,AV GRAL PAZ Y AV LIBERTADOR ,AVENIDA,13,MOTO-CARGAS,MOTO,CARGAS
69,7/17/2016,20160093,1,2016-07-17,2016,7,17,3,AV JUAN B ALBERDI Y EMILIO MITRE,AVENIDA,6,AUTO-AUTO,AUTO,AUTO
70,7/23/2016,20160095,1,2016-07-23,2016,7,23,6,MERCEDES Y AV GRAL MOSCONI,AVENIDA,11,MOTO-AUTO,MOTO,AUTO
71,7/25/2016,20160096,1,2016-07-25,2016,7,25,7,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3",AUTOPISTA,8,MOTO-CARGAS,MOTO,CARGAS
72,7/26/2016,20160097,1,2016-07-26,2016,7,26,18,SOLIS Y MEXICO,CALLE,1,PEATON-AUTO,PEATON,AUTO
73,7/27/2016,20160098,1,2016-07-27,2016,7,27,16,AV SAN JUAN Y ALBERTI,AVENIDA,3,MOTO-CARGAS,MOTO,CARGAS
74,7/29/2016,20160099,1,2016-07-29,2016,7,29,16,AV GRAL MOSCONI Y AV GRAL PAZ,AVENIDA,11,CARGAS-CARGAS,CARGAS,CARGAS
75,8/3/2016,20160100,1,2016-08-03,2016,8,3,23,AV GRAL PAZ  Y DONADO,AVENIDA,12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
76,8/7/2016,20160101,1,2016-08-07,2016,8,7,19,AV GRAL PAZ Y JORGE CHAVEZ,AVENIDA,9,SD-SD,SD,SD
77,8/10/2016,20160102,1,2016-08-10,2016,8,10,23,AV EVA PERON Y JOSE LEON SUAREZ,AVENIDA,9,MOTO-CARGAS,MOTO,CARGAS
78,8/14/2016,20160104,1,2016-08-14,2016,8,14,21,ZINNY Y AV SANTIAGO DE COMPOSTELA,AVENIDA,9,MOTO-PASAJEROS,MOTO,PASAJEROS
