,Dirección,Longitud,Latitud,Cantidad de accidentes
0,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.47533969,-34.68757022,1
1,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",-58.50877521,-34.66977709,3
2,ENTRE RIOS AV. 2034,-58.39040293,-34.63189362,1
3,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",-58.46503904,-34.68092974,1
4,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",-58.38718297,-34.62246630,1
5,27 DE FEBRERO AV. y ESCALADA AV.,-58.44451316,-34.68475866,5
6,"NOGOYA y GONZALEZ, JOAQUIN V.",-58.50095869,-34.60825440,1
7,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",-58.50877521,-34.66977709,3
8,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",-58.38048577,-34.61303893,1
9,ENTRE RIOS AV. 1366,-58.39114932,-34.62477387,1
10,"SCALABRINI ORTIZ, RAUL AV. y VERA",-58.43760020,-34.59912758,1
11,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",-58.36882665,-34.64291993,1
12,"ACOSTA, MARIANO y JANER, ANA MARIA",-58.44989671,-34.65970435,1
13,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",-58.50990884,-34.65468721,1
14,SUIPACHA 156,-58.37952223,-34.60653282,1
15,DIRECTORIO AV. y CURAPALIGUE,-58.45157703,-34.63063795,1
16,"9 DE JULIO AV. y ALSINA, ADOLFO",-58.38144696,-34.61079875,1
17,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",-58.46244952,-34.70524971,2
18,HOLMBERG y VEDIA,-58.49216191,-34.54738649,1
19,"CURAPALIGUE AV. y DIAZ, AVELINO",-58.44497874,-34.63852623,1
20,VIAMONTE y 9 DE JULIO AV.,-58.38199706,-34.60028648,1
21,CABILDO AV. y DEHEZA,-58.47378664,-34.54153077,1
22,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",-58.47064556,-34.69843756,2
23,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",-58.40623949,-34.65076549,3
24,CORRIENTES AV. y CALLAO AV.,-58.39228965,-34.60443527,1
25,"HERRERA y VALLE, ARISTOBULO DEL",-58.37813396,-34.63668504,1
26,LAFUENTE AV. y QUIRNO,-58.46275892,-34.64358293,1
27,"PAZ, GRAL. AV. y ZUVIRIA",-58.49683458,-34.67892743,1
28,"MITRE, BARTOLOME y PUEYRREDON AV.",-58.40603217,-34.60883960,1
29,DIRECTORIO AV. y RIVERA INDARTE AV.,-58.46076550,-34.63350444,1
30,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",-58.47832463,-34.67494416,1
31,"MORENO, JOSE MARIA AV. y BALBASTRO",-58.43213235,-34.63693953,1
32,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",-58.46743471,-34.53476874,4
33,LIMA 1483,-58.38247061,-34.62571878,1
34,CORRIENTES AV. y DORREGO AV.,-58.44759966,-34.59170240,2
35,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,-58.37714647568196,-34.63657525428238,2
36,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.47305463,-34.68550712,1
37,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",-58.40623949,-34.65076549,3
38,TRIUNVIRATO AV. y OLAZABAL AV.,-58.48429180,-34.57558053,1
39,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",-58.48695354,-34.68795245,1
40,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",-58.40021959,-34.57964781,1
41,"CAMPOS, LUIS M. AV. 30",-58.42957885,-34.57660058,1
42,LIMA 1471,-58.38247542,-34.62556293,1
43,CIUDADELA y LIMA,-58.38222219,-34.62728101,1
44,"JUSTO, JUAN B. AV. y CARRASCO AV.",-58.49485242,-34.62953445,1
45,GAONA AV. y ESPINOSA,-58.45227946,-34.61068024,1
46,"DE LA TORRE, LISANDRO y SARAZA",-58.48455411,-34.67512760,1
47,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",-58.39056593,-34.58418569,1
48,ENTRE RIOS AV. y FILIBERTO,-58.39118948,-34.62704273,1
49,"MAGARIÃ‘OS CERVANTES, A. 3900",-58.49021952,-34.62025108,1
50,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",-58.49896559,-34.67732118,1
51,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,-58.47461076,-34.66874679,1
52,SAN MARTIN AV. y CAMARONES,-58.46210891,-34.60356211,1
53,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",-58.37027770,-34.60536123,1
54,BELGRANO AV. y JUJUY AV.,-58.40491455,-34.61463830,1
55,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",-58.45504154,-34.54864492,1
56,"PAZ, GRAL. AV. y RIVADAVIA AV.",-58.52927982,-34.63931752,2
57,"LARRALDE, CRISOLOGO AV. y MACHAIN",-58.48721060,-34.55904606,1
58,LA PLATA AV. 2384,-58.42273092,-34.64228803,1
59,"ALBERDI, JUAN BAUTISTA AV. y PUAN",-58.44788671,-34.62539009,1
60,"PELLEGRINI, CARLOS y TUCUMAN",-58.38110563,-34.60135531,1
61,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",-58.42378834,-34.65734100,1
62,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",-58.48727942,-34.63652467,2
63,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,-58.37864583,-34.62907067,2
64,CERETTI y NUÃ‘EZ,-58.50151750,-34.56767549,1
65,"LUGONES, LEOPOLDO AV. y LA PAMPA",-58.43233425,-34.55185825,1
66,"SALGUERO, JERONIMO y RIVADAVIA AV.",-58.41971993,-34.61112240,2
67,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",-58.46743471,-34.53476874,4
