,ID_hecho,FECHA,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,FECHA_FALLECIMIENTO
0,20160001,2016-01-01,CONDUCTOR,MASCULINO,19,2016-01-01
1,20160002,2016-01-02,CONDUCTOR,MASCULINO,70,2016-01-02
2,20160003,2016-01-03,CONDUCTOR,MASCULINO,30,2016-01-03
3,20160004,2016-01-10,CONDUCTOR,MASCULINO,18,
4,20160005,2016-01-21,CONDUCTOR,MASCULINO,29,2016-02-01
5,20160008,2016-01-24,CONDUCTOR,MASCULINO,30,2016-01-24
6,20160009,2016-01-24,PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-01-26
7,20160010,2016-01-29,CONDUCTOR,MASCULINO,18,2016-01-29
8,20160012,2016-02-08,CONDUCTOR,MASCULINO,22,2016-02-08
9,20160013,2016-02-10,PEATON,MASCULINO,16,2016-02-10
10,20160015,2016-02-14,PEATON,FEMENINO,16,2016-02-14
11,20160016,2016-02-14,PASAJERO_ACOMPAÑANTE,FEMENINO,19,2016-02-14
12,20160017,2016-02-15,PEATON,MASCULINO,59,2016-02-16
13,20160019,2016-02-17,PEATON,FEMENINO,65,2016-02-17
14,20160020,2016-02-17,PEATON,MASCULINO,59,2016-03-02
15,20160021,2016-02-17,CONDUCTOR,MASCULINO,34,2016-02-17
16,20160022,2016-02-21,PASAJERO_ACOMPAÑANTE,MASCULINO,41,
17,20160025,2016-02-28,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28
18,20160026,2016-02-28,CONDUCTOR,MASCULINO,30,2016-03-04
19,20160027,2016-02-28,PASAJERO_ACOMPAÑANTE,MASCULINO,34,
20,20160028,2016-03-02,PEATON,MASCULINO,50,2016-03-02
21,20160029,2016-03-04,PEATON,MASCULINO,38,2016-03-04
22,20160031,2016-03-08,CONDUCTOR,MASCULINO,21,
23,20160034,2016-03-12,PEATON,MASCULINO,52,2016-03-12
24,20160035,2016-03-13,CONDUCTOR,MASCULINO,34,2016-03-13
25,20160036,2016-03-14,PASAJERO_ACOMPAÑANTE,MASCULINO,36,2016-03-14
26,20160037,2016-03-19,CONDUCTOR,MASCULINO,20,2016-03-19
27,20160038,2016-03-21,PEATON,MASCULINO,29,2016-03-21
28,20160039,2016-03-23,CONDUCTOR,MASCULINO,20,2016-03-23
29,20160041,2016-03-29,CONDUCTOR,MASCULINO,54,2016-03-29
30,20160041,2016-03-29,PASAJERO_ACOMPAÑANTE,MASCULINO,SD,2016-03-30
31,20160043,2016-03-30,PEATON,FEMENINO,56,2016-03-30
